5 18 40 62 64 75
5 19 35 42 49 63
5 19 35 42 63 79
5 19 42 49 56 63
5 19 42 56 63 79
5 20 32 44 47 71
5 20 32 44 71 74
5 20 44 47 59 71
5 20 44 59 71 74
5 21 29 37 45 70
5 21 29 37 70 78
5 21 37 45 62 70
5 21 37 62 70 78
5 22 35 39 52 69
5 22 35 39 69 73
5 22 39 52 56 69
5 22 39 56 69 73
5 23 32 41 50 68
5 23 32 41 68 77
5 23 41 50 59 68
5 23 41 59 68 77
5 24 29 43 48 67
5 24 29 43 67 72
5 24 43 48 62 67
5 24 43 62 67 72
5 25 35 36 46 66
5 25 35 36 66 76
5 25 36 46 56 66
5 25 36 56 66 76
5 26 32 38 53 65
5 26 32 38 65 80
5 26 38 53 59 65
5 26 38 59 65 80
5 29 37 45 70 78
5 29 40 51 64 75
5 29 43 48 67 72
5 32 38 53 65 80
5 32 41 50 68 77
5 32 44 47 71 74
5 35 36 46 66 76
5 35 39 52 69 73
5 35 42 49 63 79
5 36 46 56 66 76
5 37 45 62 70 78
5 38 53 59 65 80
5 39 52 56 69 73
5 40 51 62 64 75
5 41 50 59 68 77
5 42 49 56 63 79
5 43 48 62 67 72
5 44 47 59 71 74
6 9 21 33 36 48
6 9 21 33 36 75
6 9 21 33 48 63
